date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog
05.04.15;33.1;68.0;0.0;0.0;0.0;04. Jul;230;16. Nov;200;21.92;No
08.04.15;62.1;84.0;0.0;0.0;0.0;Mai 82;40;29.97;30;38.03;Yes
09.04.15;57.0;78.1;0.53;0.0;0.0;Mai 82;90;23.94;90;27.96;Yes
11.04.15;52.0;75.0;0.0;0.0;0.0;03. Aug;280;Dez 97;20;19.91;No
12.04.15;46.9;73.0;0.0;0.0;0.0;Jul 61;90;19.91;90;27.96;No
16.04.15;48.0;66.0;0.05;0.0;0.0;Apr 47;50;10. Jul;110;18. Dez;No
18.04.15;61.0;80.1;0.01;0.0;0.0;MŠr 13;130;12. Aug;140;16. Nov;Yes
20.04.15;63.0;78.1;0.28;0.0;0.0;Nov 86;180;21.92;170;29. Aug;Yes
01.05.15;51.1;61.0;0.58;0.0;0.0;Apr 47;50;16. Nov;10;21. MŠr;Yes
03.05.15;46.9;79.0;0.0;0.0;0.0;Feb 68;200;12. Aug;210;14.99;Yes
05.05.15;55.9;82.0;0.0;0.0;0.0;Jul 38;240;16. Nov;230;19.91;No
13.05.15;57.9;80.1;0.0;0.0;0.0;MŠr 58;330;12. Aug;10;16. Nov;No
29.05.15;66.0;87.1;0.0;0.0;0.0;04. MŠr;140;14. Sep;140;16. Nov;No
17.06.15;73.9;96.1;0.51;0.0;0.0;03. Aug;80;16. Nov;160;21. MŠr;Yes
18.06.15;71.1;98.1;02. Jan;0.0;0.0;Mai 59;90;23. Apr;90;29.97;Yes
19.06.15;72.0;95.0;0.23;0.0;0.0;04. Jul;100;14. Sep;110;19.91;Yes
23.06.15;75.9;98.1;0.0;0.0;0.0;Aug 28;220;17.0;230;21.92;No
24.06.15;73.9;95.0;0.0;0.0;0.0;Apr 92;220;14. Sep;230;17.0;No
25.06.15;71.1;91.9;0.31;0.0;0.0;Mai 82;230;19.91;230;25. Mai;Yes
